type,country_code,series_code,description,country_name,series_name
Country-Series,SYR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Syrian Arab Republic,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SYR,SP.POP.TOTL,Data source: United Nations World Population Prospects,Syrian Arab Republic,"Population, total"
Country-Series,TCD,SP.POP.TOTL,Data source: United Nations World Population Prospects,Chad,"Population, total"
Country-Series,TCD,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Chad,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TCD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are partly based on reports provided by the country and World Bank staff estimates due to incomplete reports. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 is based on data from the BIS. Data include the effects of HIPC debt relief. DSSI eligible and participating in 2020 and 2021.,Chad,"External debt stocks, total (DOD, current US$)"
Country-Series,TGO,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Togo,"External debt stocks, total (DOD, current US$)"
Country-Series,TGO,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Togo,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TGO,SP.POP.TOTL,Data source: United Nations World Population Prospects,Togo,"Population, total"
Country-Series,THA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Thailand,"Population, total"
Country-Series,THA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Thailand,"External debt stocks, total (DOD, current US$)"
Country-Series,THA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Thailand,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TJK,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Tajikistan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TJK,SP.POP.TOTL,Data source: United Nations World Population Prospects,Tajikistan,"Population, total"
Country-Series,TJK,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private nonguaranteed, and short-term debt data for 2024 are based on reports provided by the country. Short-term debt from 2015 to 2017 is sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) and before 2015 is based on data from the BIS. Data include MDRI debt relief. DSSI eligible and participated in 2020, but not participating in 2021.",Tajikistan,"External debt stocks, total (DOD, current US$)"
Country-Series,TKM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. The country resumed reporting on long-term public and publicly guaranteed debt in 2021, and the time series from 2008 onward has been revised. Long-term private nonguaranteed debt data (excluding bonds) only cover European Bank for Reconstruction and Development lending. Short-term debt for 2024 is based on data from the BIS.",Turkmenistan,"External debt stocks, total (DOD, current US$)"
Country-Series,TKM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Turkmenistan,"Population, total"
Country-Series,TKM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Turkmenistan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TLS,SP.POP.TOTL,Data source: United Nations World Population Prospects,Timor-Leste,"Population, total"
Country-Series,TLS,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and not participating in 2020 and 2021.,Timor-Leste,"External debt stocks, total (DOD, current US$)"
Country-Series,TON,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available.  Short-term debt for 2024 is sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and participating in 2020 and 2021.,Tonga,"External debt stocks, total (DOD, current US$)"
Country-Series,TON,SP.POP.TOTL,Data source: United Nations World Population Prospects,Tonga,"Population, total"
Country-Series,TON,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Tonga,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TUN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Tunisia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TUN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Tunisia,"Population, total"
Country-Series,TUN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.,Tunisia,"External debt stocks, total (DOD, current US$)"
Country-Series,TUR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Türkiye,"External debt stocks, total (DOD, current US$)"
Country-Series,TUR,SP.POP.TOTL,Data source: United Nations World Population Prospects,Türkiye,"Population, total"
Country-Series,TUR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Türkiye,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TZA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Tanzania,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,TZA,DT.DOD.DPPG.CD,Data include debt liabilities of Zanzibar.,Tanzania,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
Country-Series,TZA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Tanzania,"External debt stocks, total (DOD, current US$)"
Country-Series,TZA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Tanzania,"Population, total"
Country-Series,UGA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Uganda,"Population, total"
Country-Series,UGA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Uganda,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,UGA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt for 2024 are based on reports provided by the country. Long term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.,Uganda,"External debt stocks, total (DOD, current US$)"
Country-Series,UKR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Ukraine,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,UKR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of recent debt restructuring.,Ukraine,"External debt stocks, total (DOD, current US$)"
Country-Series,UKR,SP.POP.TOTL,"Data source: State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",Ukraine,"Population, total"
Country-Series,UMC,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Upper middle income,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,UZB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Uzbekistan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,UZB,SP.POP.TOTL,"Data source: State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",Uzbekistan,"Population, total"
Country-Series,UZB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021.,Uzbekistan,"External debt stocks, total (DOD, current US$)"
Country-Series,VCT,SP.POP.TOTL,Data source: United Nations World Population Prospects,St. Vincent and the Grenadines,"Population, total"
Country-Series,VCT,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,St. Vincent and the Grenadines,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,VCT,DT.DOD.DSTC.CD,Short-term debt data are excluded since BIS data include debt liabilities of offshore centers located in the country.,St. Vincent and the Grenadines,"External debt stocks, short-term (DOD, current US$)"
Country-Series,VCT,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 are based on reports provided by the country. DSSI eligible and did not participate in 2020, but participating in 2021.",St. Vincent and the Grenadines,"External debt stocks, total (DOD, current US$)"
Country-Series,VNM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt, long-term private nonguaranteed debt and short-term debt data for 2024 are based on reports provided by the country.",Viet Nam,"External debt stocks, total (DOD, current US$)"
Country-Series,VNM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Viet Nam,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,VNM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Viet Nam,"Population, total"
Country-Series,VUT,SP.POP.TOTL,Data source: United Nations World Population Prospects,Vanuatu,"Population, total"
Country-Series,VUT,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Vanuatu,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,VUT,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and not participating in 2020 and 2021.,Vanuatu,"External debt stocks, total (DOD, current US$)"
